Unnamed: 0,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
6006,Cambridge Lower Secondary Complete Physics: Student Book (Second Edition),Helen Reynolds,School Books,International School Boards,Product Bundle,"₹1,360.00",4.4,7.0,https://www.amazon.in/Cambridge-Lower-Secondary-Complete-Physics/dp/1382019017/ref=zg_bs_g_10998107031_d_sccl_3/000-0000000-0000000?psc=1
6007,"Oswaal One For All Workbook, Class-5, English (For Latest Exam)",Oswaal Editorial Board,School Books,International School Boards,Paperback,₹271.00,4.4,44.0,https://www.amazon.in/Oswaal-Workbook-Class-5-English-Latest/dp/9355954379/ref=zg_bs_g_10998107031_d_sccl_4/000-0000000-0000000?psc=1
6008,NEW English as a second language Coursebook with digital access (2 years) (Cambridge International Igcse),Peter Lucantoni,School Books,International School Boards,Product Bundle,"₹2,160.00",4.5,31.0,https://www.amazon.in/Cambridge-IGCSETM-Language-Coursebook-International/dp/1009031945/ref=zg_bs_g_10998107031_d_sccl_5/000-0000000-0000000?psc=1
6009,Cambridge Lower Secondary Mathematics Learner's Book 8 with Digital Access (1 Year) (Cambridge Lower Secondary Maths),Lynn Byrd,School Books,International School Boards,Paperback,"₹1,290.00",4.5,82.0,https://www.amazon.in/Cambridge-Secondary-Mathematics-Learners-Digital/dp/1108771521/ref=zg_bs_g_10998107031_d_sccl_6/000-0000000-0000000?psc=1
6010,"Oswaal One For All Workbook, Class-5, Science (For Latest Exam)",Oswaal Editorial Board,School Books,International School Boards,Paperback,₹328.00,4.3,40.0,https://www.amazon.in/Oswaal-Workbook-Class-5-Science-Latest/dp/9355954387/ref=zg_bs_g_10998107031_d_sccl_7/000-0000000-0000000?psc=1
6011,Cambridge Primary Science Workbook 4 with Digital Access (1 Year),Fiona Baxter,School Books,International School Boards,Paperback,₹493.69,4.6,49.0,https://www.amazon.in/Cambridge-Primary-Science-Workbook-Digital/dp/1108742947/ref=zg_bs_g_10998107031_d_sccl_8/000-0000000-0000000?psc=1
6012,Cambridge IGCSE® and O Level Economics Coursebook - 2ED,Susan Grant,School Books,International School Boards,Paperback,₹885.00,4.5,202.0,https://www.amazon.in/Cambridge-IGCSE%C2%AE-Economics-Coursebook-International/dp/110844038X/ref=zg_bs_g_10998107031_d_sccl_9/000-0000000-0000000?psc=1
6013,"Oswaal One For All Workbook Class 2 English, Math, Science & General Knowledge (Set of 4 Books) (For Latest Exam)",Oswaal Editorial Board,School Books,International School Boards,Product Bundle,"₹1,099.00",4.6,18.0,https://www.amazon.in/Workbook-English-Science-General-Knowledge/dp/9355957203/ref=zg_bs_g_10998107031_d_sccl_10/000-0000000-0000000?psc=1
6014,Cambridge IGCSE and O Level Computer Science Second Edition,David Watson,School Books,International School Boards,Paperback,"₹1,920.00",4.7,80.0,https://www.amazon.in/Cambridge-IGCSE-Computer-Science-Second/dp/1398318280/ref=zg_bs_g_10998107031_d_sccl_11/000-0000000-0000000?psc=1
6015,Cambridge Primary Science Learner's Book 4 with Digital Access (1 Year),Fiona Baxter,School Books,International School Boards,Paperback,₹499.00,4.3,51.0,https://www.amazon.in/Cambridge-Primary-Science-Learners-Digital/dp/1108742939/ref=zg_bs_g_10998107031_d_sccl_12/000-0000000-0000000?psc=1
6016,Pegasus Primary English Grammar for Class 2 Students,Team Pegasus,School Books,International School Boards,Paperback,₹142.00,4.7,17.0,https://www.amazon.in/Pegasus-Primary-English-Grammar-Students/dp/8131936201/ref=zg_bs_g_10998107031_d_sccl_13/000-0000000-0000000?psc=1
6017,Cambridge Primary Mathematics Workbook 1 with Digital Access (1 Year) 2/ed,Cherri Moseley,School Books,International School Boards,Paperback,₹549.00,4.7,13.0,https://www.amazon.in/Cambridge-Primary-Mathematics-Workbook-Digital/dp/1108746438/ref=zg_bs_g_10998107031_d_sccl_14/000-0000000-0000000?psc=1
6018,Lower Secondary Maths Student's Book: Stage 8: Stage 8: Student's Book (Collins Cambridge Lower Secondary Maths),Alastair Duncombe,School Books,International School Boards,Paperback,₹690.00,4.1,24.0,https://www.amazon.in/Lower-Secondary-Maths-Students-Book/dp/0008378541/ref=zg_bs_g_10998107031_d_sccl_15/000-0000000-0000000?psc=1
6019,"Oswaal One For All Workbook Class 1 English, Math, Science & General Knowledge (Set of 4 Books) (For Latest Exam)",Oswaal Editorial Board,School Books,International School Boards,Product Bundle,₹928.00,4.1,28.0,https://www.amazon.in/Workbook-English-Science-General-Knowledge/dp/9355957122/ref=zg_bs_g_10998107031_d_sccl_16/000-0000000-0000000?psc=1
6020,Cambridge IGCSE® First Language English Language and Skills Practice Book 5/E,Marian Cox,School Books,International School Boards,Paperback,₹694.00,4.6,149.0,https://www.amazon.in/Cambridge-Language-English-Practice-International/dp/110843892X/ref=zg_bs_g_10998107031_d_sccl_17/000-0000000-0000000?psc=1
6021,Cambridge Primary Science Stage 2 Learner's Book 2,Jon Board,School Books,International School Boards,Paperback,₹270.00,4.6,87.0,https://www.amazon.in/Cambridge-Primary-Science-Stage-Learners/dp/1107611393/ref=zg_bs_g_10998107031_d_sccl_18/000-0000000-0000000?psc=1
6022,Devsatya Paperset For Std 12 Commerce ( Gujarati Medium ) | Board Examination,The Diwalipura Youth,School Books,International School Boards,Paperback,₹379.00,4.3,278.0,https://www.amazon.in/Devsatya-Paperset-Commerce-Board-Examination/dp/B07VK848K9/ref=zg_bs_g_10998107031_d_sccl_19/000-0000000-0000000?psc=1
6023,"Cambridge IGCSE™ Physics, 4/e",Heather Kennett,School Books,International School Boards,Paperback,"₹1,249.00",4.2,58.0,https://www.amazon.in/Cambridge-IGCSETM-Physics-Heather-Kennett/dp/1398310549/ref=zg_bs_g_10998107031_d_sccl_20/000-0000000-0000000?psc=1
6024,"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,School Books,Olympiads & Scholarship Exams,Paperback,₹235.00,4.5,4451.0,https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_g_4149834031_d_sccl_1/000-0000000-0000000?psc=1
6025,"MTG International Mathematics Olympiad (IMO) Workbook for Class 3 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,891.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555059/ref=zg_bs_g_4149834031_d_sccl_2/000-0000000-0000000?psc=1
6026,"MTG International Mathematics Olympiad (IMO) Workbook for Class 2 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.4,399.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555067/ref=zg_bs_g_4149834031_d_sccl_3/000-0000000-0000000?psc=1
6027,"MTG International Mathematics Olympiad (IMO) Workbook for Class 4 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,371.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555040/ref=zg_bs_g_4149834031_d_sccl_4/000-0000000-0000000?psc=1
6028,"Oswaal One For All Olympiad Previous Years' Solved Papers, Class-1 Mathematics Book (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹239.00,4.5,982.0,https://www.amazon.in/Olympiad-Previous-Class-1-Mathematics-2021-22/dp/9354233031/ref=zg_bs_g_4149834031_d_sccl_5/000-0000000-0000000?psc=1
6029,"Pearson IIT Foundation Mathematics Class 8, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹431.00,4.5,156.0,https://www.amazon.in/Foundation-Mathematics-Curriculum-Guidelines-Preparation/dp/9356069476/ref=zg_bs_g_4149834031_d_sccl_6/000-0000000-0000000?psc=1
6030,Sainik School Guide Book Class 6 for Entrance Exam 2024 English Medium (New Edition),Radian Book Company,School Books,Olympiads & Scholarship Exams,Paperback,₹274.00,4.2,82.0,https://www.amazon.in/Sainik-School-Entrance-English-Medium/dp/9395757469/ref=zg_bs_g_4149834031_d_sccl_7/000-0000000-0000000?psc=1
6031,"MTG International English Olympiad (IEO) Workbook for Class 2 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam ZARRIN ALI KHAN",ZARRIN ALI KHAN,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,661.0,https://www.amazon.in/International-English-Olympiad-Workbook-Class/dp/9355554745/ref=zg_bs_g_4149834031_d_sccl_8/000-0000000-0000000?psc=1
6032,"Oswaal One For All Olympiad Previous Years’ Solved Papers, Class-4 Mathematics Book (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹317.00,4.4,440.0,https://www.amazon.in/Oswaal-Olympiad-Previous-Class-4-Mathematics/dp/9354235158/ref=zg_bs_g_4149834031_d_sccl_9/000-0000000-0000000?psc=1
6033,"Pearson IIT Foundation Mathematics Class 6, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹245.00,4.4,83.0,https://www.amazon.in/Foundation-Mathematics-Curriculum-Guidelines-Preparation/dp/9356069417/ref=zg_bs_g_4149834031_d_sccl_10/000-0000000-0000000?psc=1
6034,"MTG National Science Olympiad (NSO) Workbook for Class 2 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam ANIL AHLAWAT",ANIL AHLAWAT,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,198.0,https://www.amazon.in/National-Science-Olympiad-Workbook-Class/dp/9355554869/ref=zg_bs_g_4149834031_d_sccl_11/000-0000000-0000000?psc=1
6035,"MTG International English Olympiad (IEO) Workbook for Class 3 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam ZARRIN ALI KHAN",ZARRIN ALI KHAN,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,238.0,https://www.amazon.in/International-English-Olympiad-Workbook-Class/dp/935555477X/ref=zg_bs_g_4149834031_d_sccl_12/000-0000000-0000000?psc=1
6036,"MTG International Mathematics Olympiad (IMO) Workbook for Class 1 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.4,302.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555075/ref=zg_bs_g_4149834031_d_sccl_13/000-0000000-0000000?psc=1
6037,"Oswaal One For All Olympiad Previous Years' Solved Papers, Class-3 Mathematics Book (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹286.00,4.3,392.0,https://www.amazon.in/Olympiad-Previous-Solved-Class-3-Mathematics/dp/9354233880/ref=zg_bs_g_4149834031_d_sccl_14/000-0000000-0000000?psc=1
6038,"Oswaal One For All Olympiad Previous Years’ Solved Papers, Class-2 Mathematics Book (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹238.00,4.4,677.0,https://www.amazon.in/One-All-Olympiads-Mathmatics-class-2/dp/9354233538/ref=zg_bs_g_4149834031_d_sccl_15/000-0000000-0000000?psc=1
6039,"MTG Olympiad Prep-Guide Class 3 - Achievers Section with IMO-NSO-IEO Chapterwise Previous Year Question Paper For SOF 2023-24 Exam, Set of 3 Books (Mathematics, Science, English) MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹450.00,4.5,107.0,https://www.amazon.in/MTG-Olympiad-Prep-Guide-Class-IMO-NSO-IEO/dp/9355557728/ref=zg_bs_g_4149834031_d_sccl_16/000-0000000-0000000?psc=1
6040,"Pearson IIT Foundation-Mathematics Class 9, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹448.00,4.5,199.0,https://www.amazon.in/Foundation-Mathematics-Curriculum-Guidelines-Preparation/dp/9356069514/ref=zg_bs_g_4149834031_d_sccl_17/000-0000000-0000000?psc=1
6041,"MTG International Mathematics Olympiad (IMO) Workbook for Class 5 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,340.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555032/ref=zg_bs_g_4149834031_d_sccl_18/000-0000000-0000000?psc=1
6042,"Pearson IIT Foundation Physics Class 8, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹326.00,4.5,125.0,https://www.amazon.in/Pearson-Foundation-Curriculum-Guidelines-Preparation/dp/9356069484/ref=zg_bs_g_4149834031_d_sccl_19/000-0000000-0000000?psc=1
6043,MTG International General Knowledge Olympiad (IGKO) Workbook for Class 3 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2023-2024 Exam RAGHAV SINGH,RAGHAV SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹80.00,4.5,152.0,https://www.amazon.in/International-General-Knowledge-Olympiad-Workbook/dp/9355554656/ref=zg_bs_g_4149834031_d_sccl_20/000-0000000-0000000?psc=1
6044,"MTG Olympiad Prep-Guide Class 4 - Achievers Section with IMO-NSO-IEO Chapterwise Previous Year Question Paper For SOF 2023-24 Exam, Set of 3 Books (Mathematics, Science, English) MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹450.00,4.5,111.0,https://www.amazon.in/MTG-Olympiad-Prep-Guide-Class-IMO-NSO-IEO/dp/9355557035/ref=zg_bs_g_4149834031_d_sccl_21/000-0000000-0000000?psc=1
6045,"Pearson IIT Foundation Chemistry Class 8, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹295.00,4.3,112.0,https://www.amazon.in/Foundation-Chemistry-Curriculum-Guidelines-Preparation/dp/9356069468/ref=zg_bs_g_4149834031_d_sccl_22/000-0000000-0000000?psc=1
6046,"MTG National Science Olympiad (NSO) Workbook for Class 4 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam ANIL AHLAWAT",ANIL AHLAWAT,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,254.0,https://www.amazon.in/National-Science-Olympiad-Workbook-Class/dp/9355554842/ref=zg_bs_g_4149834031_d_sccl_23/000-0000000-0000000?psc=1
6047,"MTG Olympiad Prep-Guide Class 5 - Achievers Section with IMO-NSO-IEO Chapterwise Previous Year Question Paper For SOF 2023-24 Exam, Set of 3 Books (Mathematics, Science, English) MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹450.00,4.5,129.0,https://www.amazon.in/MTG-Olympiad-Prep-Guide-Class-IMO-NSO-IEO/dp/9355557310/ref=zg_bs_g_4149834031_d_sccl_24/000-0000000-0000000?psc=1
6048,"MTG National Science Olympiad (NSO) Workbook for Class 3 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam ANIL AHLAWAT",ANIL AHLAWAT,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,231.0,https://www.amazon.in/National-Science-Olympiad-Workbook-Class/dp/9355554850/ref=zg_bs_g_4149834031_d_sccl_25/000-0000000-0000000?psc=1
6049,"MTG Olympiad Prep-Guide Mathematics Class 3 - Detailed Theory, Self Test with IMO Chapterwise Previous Year Question Paper For SOF 2023-24 Exam MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹134.00,4.5,615.0,https://www.amazon.in/MTG-Olympiad-Prep-Guide-Mathematics-Class/dp/9355555415/ref=zg_bs_g_4149834031_d_sccl_26/000-0000000-0000000?psc=1
6050,"Oswaal One For All Olympiad Previous Years Solved Papers, Class-2 English Book (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹342.00,4.3,305.0,https://www.amazon.in/Olympiad-Previous-Solved-Class-2-English/dp/9354233619/ref=zg_bs_g_4149834031_d_sccl_27/000-0000000-0000000?psc=1
6051,"MTG International Mathematics Olympiad (IMO) Workbook for Class 7 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.4,248.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555016/ref=zg_bs_g_4149834031_d_sccl_28/000-0000000-0000000?psc=1
6052,"MTG Foundation Course Class 10 Physics Book - Your Companion to Crack NTSE-NVS-KVPY-BOARDS-IIT JEE-NEET-NSO Olympiad Exam, Based on Latest Pattern-2023 MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹298.00,4.3,57.0,https://www.amazon.in/Foundation-Course-Class-Physics-NTSE-NVS-KVPY-BOARDS-IIT/dp/9355556578/ref=zg_bs_g_4149834031_d_sccl_29/000-0000000-0000000?psc=1
6053,"MTG International English Olympiad (IEO) Workbook for Class 5 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam ZARRIN ALI KHAN",ZARRIN ALI KHAN,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.4,222.0,https://www.amazon.in/International-English-Olympiad-Workbook-Class/dp/9355554737/ref=zg_bs_g_4149834031_d_sccl_30/000-0000000-0000000?psc=1
6054,"Oswaal One For All Olympiad Previous Years Solved Papers, Class-5 Mathematics Book (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹316.00,4.3,550.0,https://www.amazon.in/Olympiad-Previous-Solved-Class-5-Mathematics/dp/9354234356/ref=zg_bs_g_4149834031_d_sccl_1/000-0000000-0000000?psc=1
6055,"Pearson IIT Foundation Mathematics Class 7, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹326.00,4.6,127.0,https://www.amazon.in/Foundation-Mathematics-Curriculum-Guidelines-Preparation/dp/9356069441/ref=zg_bs_g_4149834031_d_sccl_2/000-0000000-0000000?psc=1
6056,"Oswaal One For All Olympiad Previous Years Solved Papers, Class-2 Science (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹285.00,4.4,319.0,https://www.amazon.in/Olympiad-Previous-Solved-Class-2-Science/dp/9354233805/ref=zg_bs_g_4149834031_d_sccl_3/000-0000000-0000000?psc=1
6057,MTG International General Knowledge Olympiad (IGKO) Workbook for Class 2 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2023-2024 Exam RAGHAV SINGH,RAGHAV SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹80.00,4.5,138.0,https://www.amazon.in/International-General-Knowledge-Olympiad-Workbook/dp/9355554664/ref=zg_bs_g_4149834031_d_sccl_4/000-0000000-0000000?psc=1
6058,"Pearson IIT Foundation Mathematics Class 10, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹442.00,4.6,124.0,https://www.amazon.in/Foundation-Mathematics-Curriculum-Guidelines-Preparation/dp/9356069506/ref=zg_bs_g_4149834031_d_sccl_5/000-0000000-0000000?psc=1
6059,"Pearson IIT Foundation- Physics Class 9, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹415.00,4.5,191.0,https://www.amazon.in/Pearson-Foundation-Curriculum-Guidelines-Preparation/dp/9356069522/ref=zg_bs_g_4149834031_d_sccl_6/000-0000000-0000000?psc=1
6060,"MTG International Mathematics Olympiad (IMO) Workbook, Prep-Guide & Previous Years Papers with Self Test Paper Class 4 - SOF Olympiad Books For 2023-24 Exam (Set of 3 Books)",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹460.00,4.5,85.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Prep-Guide/dp/9355557108/ref=zg_bs_g_4149834031_d_sccl_7/000-0000000-0000000?psc=1
6061,"MTG Foundation Course Class 10 Biology Book - Your Companion to Crack NTSE-NVS-KVPY-BOARDS-NEET-NSO Olympiad, Based on Latest Pattern-2023 MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹336.00,4.3,44.0,https://www.amazon.in/Foundation-Course-Class-Biology-NTSE-NVS-KVPY-BOARDS-NEET-NSO/dp/9355556543/ref=zg_bs_g_4149834031_d_sccl_8/000-0000000-0000000?psc=1
6062,"Pearson IIT Foundation Physics Class 7, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹277.00,4.6,79.0,https://www.amazon.in/Pearson-Foundation-Curriculum-Guidelines-Preparation/dp/935606945X/ref=zg_bs_g_4149834031_d_sccl_9/000-0000000-0000000?psc=1
6063,"MTG International Mathematics Olympiad (IMO) Workbook for Class 6 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,798.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555024/ref=zg_bs_g_4149834031_d_sccl_10/000-0000000-0000000?psc=1
6064,"MTG International Mathematics Olympiad (IMO) Workbook for Class 9 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam MAHABIR SINGH",MAHABIR SINGH,School Books,Olympiads & Scholarship Exams,Paperback,₹64.00,4.5,149.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355554990/ref=zg_bs_g_4149834031_d_sccl_11/000-0000000-0000000?psc=1
6065,"MTG Foundation Course Class 10 Chemistry Book - Your Companion to Crack NTSE-NVS-KVPY-BOARDS-IIT JEE-NEET-NSO Olympiad, Based on Latest Pattern-2023 MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹395.00,4.5,57.0,https://www.amazon.in/Foundation-Course-Class-Chemistry-NTSE-NVS-KVPY-BOARDS-IIT/dp/935555656X/ref=zg_bs_g_4149834031_d_sccl_12/000-0000000-0000000?psc=1
6066,"Oswaal One For All Olympiad Previous Years' Solved Papers, Class-3 English Book (Useful book for all Olympiads) (For 2023 Exam)",Oswaal Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹350.00,4.3,239.0,https://www.amazon.in/Olympiad-Previous-Solved-Class-3-English/dp/9354233961/ref=zg_bs_g_4149834031_d_sccl_13/000-0000000-0000000?psc=1
6067,"MTG Olympiad Reasoning Workbook Class 2 - Enhances Lateral Thinking & Analytical Skills, Reasoning Workbook For SOF Olympiad & Talent Search Exam",PALLAVI AGGRAWAL,School Books,Olympiads & Scholarship Exams,Paperback,₹120.00,4.5,57.0,https://www.amazon.in/MTG-Olympiad-Reasoning-Workbook-Class/dp/9355556470/ref=zg_bs_g_4149834031_d_sccl_14/000-0000000-0000000?psc=1
6068,Jawahar Navodaya Vidyalaya Class 6 Guide for Exam 2024,Arihant Experts,School Books,Olympiads & Scholarship Exams,Paperback,₹247.00,4.1,108.0,https://www.amazon.in/Jawahar-Navodaya-Vidyalaya-Class-Guide/dp/932222357X/ref=zg_bs_g_4149834031_d_sccl_15/000-0000000-0000000?psc=1
6069,"MTG Olympiad Prep-Guide Class 2 - Achievers Section with IMO-NSO-IEO Chapterwise Previous Year Question Paper For SOF 2023-24 Exam, Set of 3 Books (Mathematics, Science, English) MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹447.00,4.4,83.0,https://www.amazon.in/MTG-Olympiad-Prep-Guide-Class-IMO-NSO-IEO/dp/9355557043/ref=zg_bs_g_4149834031_d_sccl_16/000-0000000-0000000?psc=1
6070,"MTG International Mathematics Olympiad (IMO) Workbook, Prep-Guide & Previous Years Papers with Self Test Paper Class 2 - SOF Olympiad Books For 2023-24 Exam (Set of 3 Books)",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹460.00,4.4,54.0,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Prep-Guide/dp/9355557019/ref=zg_bs_g_4149834031_d_sccl_17/000-0000000-0000000?psc=1
6071,"Pearson IIT Foundation Physics Class 10, for JEE, NTSE, Olympiad| Revised CBSE and NCERT'23|Free access to e-library for Self Preparation - Fifth Edition 2023",Trishna,School Books,Olympiads & Scholarship Exams,Paperback,₹439.00,4.5,123.0,https://www.amazon.in/Pearson-Foundation-Curriculum-Guidelines-Preparation/dp/9356069530/ref=zg_bs_g_4149834031_d_sccl_18/000-0000000-0000000?psc=1
6072,"MTG Olympiad Prep-Guide Class 6 - Achievers Section with IMO-NSO-IEO Chapterwise Previous Year Question Paper For SOF 2023-24 Exam, Set of 3 Books (Mathematics, Science, English) MTG Editorial Board",MTG Editorial Board,School Books,Olympiads & Scholarship Exams,Paperback,₹564.00,4.5,98.0,https://www.amazon.in/MTG-Olympiad-Prep-Guide-Class-IMO-NSO-IEO/dp/9355557698/ref=zg_bs_g_4149834031_d_sccl_19/000-0000000-0000000?psc=1
6073,Pathfinder for Pre-RMO/IOQM – 2023-2024,Prashant Jain,School Books,Olympiads & Scholarship Exams,Paperback,₹649.00,4.4,38.0,https://www.amazon.in/Pathfinder-Pre-RMO-IOQM-Prashant-Jain/dp/9357052542/ref=zg_bs_g_4149834031_d_sccl_20/000-0000000-0000000?psc=1
6074,"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationalised Syllabus, NEET Books (Latest & Revised Edition 2024-2025",MTG Editorial Board,Science & Mathematics,Biology & Life Sciences,Paperback,₹630.00,4.4,55.0,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Biology/dp/8119218205/ref=zg_bs_g_4149711031_d_sccl_1/000-0000000-0000000?psc=1
6075,Dr. Cuterus : Everything Nobody Tells You About Your Body,Dr Tanaya Narendra,Science & Mathematics,Biology & Life Sciences,Paperback,₹198.00,4.7,601.0,https://www.amazon.in/Dr-Cuterus-Everything-Nobody-Tells/dp/0143455702/ref=zg_bs_g_4149711031_d_sccl_2/000-0000000-0000000?psc=1
